nest,year,nest_age,time,female,male,total,proportionF,annual_precip,annual_min_temp,wet_dry,warm_cold
B7_2004,2004,21,60,4,6,10,0.4,224.028,-3.067724376,Dry,Warm
A18_2009,2009,21,60,2,1,3,0.666666667,276.606,-2.993546066,Dry,Warm
B5_2009,2009,21,60,4,16,20,0.2,276.606,-2.993546066,Dry,Warm
B19_2011,2011,21,60,2,1,3,0.666666667,340.106,-2.932766528,Wet,Warm
B1_2013,2013,21,60,1,1,2,0.5,236.728,-3.650611887,Dry,Cold
A20_2018,2018,21,60,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
A8_2020,2020,21,60,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
A10_2005,2005,22,60,4,7,11,0.363636364,326.644,-2.633386836,Wet,Warm
A18_2009,2009,22,60,0,2,2,0.001,276.606,-2.993546066,Dry,Warm
B5_2009,2009,22,60,3,7,10,0.3,276.606,-2.993546066,Dry,Warm
B4_2011,2011,22,60,0,1,1,0.001,340.106,-2.932766528,Wet,Warm
A13_2012,2012,22,60,0,1,1,0.001,308.61,-2.678682782,Wet,Warm
B1_2013,2013,22,60,1,2,3,0.333333333,236.728,-3.650611887,Dry,Cold
A27_2015,2015,22,60,2,2,4,0.5,506.984,-2.316151362,Wet,Warm
A7_2018,2018,22,60,6,2,8,0.75,302.768,-2.579869562,Wet,Warm
A4_2019,2019,22,60,0,1,1,0.001,219.71,-3.47547053,Dry,Cold
B8_2020,2020,22,60,2,1,3,0.666666667,233.934,-3.252918217,Dry,Cold
A4_2020,2020,22,60,3,0,3,0.999,233.934,-3.252918217,Dry,Cold
B11_2004,2004,23,60,0,16,16,0.001,224.028,-3.067724376,Dry,Warm
A11_2005,2005,23,60,4,3,7,0.571428571,326.644,-2.633386836,Wet,Warm
A8_2007,2007,23,60,2,3,5,0.4,455.676,-2.915787258,Wet,Warm
B13_2007,2007,23,60,4,4,8,0.5,455.676,-2.915787258,Wet,Warm
A18_2009,2009,23,60,0,7,7,0.001,276.606,-2.993546066,Dry,Warm
B5_2009,2009,23,60,7,5,12,0.583333333,276.606,-2.993546066,Dry,Warm
A13_2012,2012,23,60,1,1,2,0.5,308.61,-2.678682782,Wet,Warm
B4_2012,2012,23,60,0,4,4,0.001,308.61,-2.678682782,Wet,Warm
B10_2012,2012,23,60,4,0,4,0.999,308.61,-2.678682782,Wet,Warm
B1_2013,2013,23,60,1,9,10,0.1,236.728,-3.650611887,Dry,Cold
B2_2013,2013,23,60,2,1,3,0.666666667,236.728,-3.650611887,Dry,Cold
A2_2020,2020,23,60,6,5,11,0.545454545,233.934,-3.252918217,Dry,Cold
A11_2004,2004,24,60,4,1,5,0.8,224.028,-3.067724376,Dry,Warm
A4_2009,2009,24,60,2,4,6,0.333333333,276.606,-2.993546066,Dry,Warm
A13_2012,2012,24,60,5,4,9,0.555555556,308.61,-2.678682782,Wet,Warm
B1_2013,2013,24,60,0,7,7,0.001,236.728,-3.650611887,Dry,Cold
B20_2013,2013,24,60,3,4,7,0.428571429,236.728,-3.650611887,Dry,Cold
B7_2014,2014,24,60,3,3,6,0.5,279.146,-2.878476994,Dry,Warm
A27_2015,2015,24,60,1,3,4,0.25,506.984,-2.316151362,Wet,Warm
A4_2018,2018,24,60,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
A13_2005,2005,25,60,0,1,1,0.001,326.644,-2.633386836,Wet,Warm
B6_2006,2006,25,60,1,0,1,0.999,180.34,-3.301481382,Dry,Cold
A8_2009,2009,25,60,5,8,13,0.384615385,276.606,-2.993546066,Dry,Warm
A27_2015,2015,25,60,3,1,4,0.75,506.984,-2.316151362,Wet,Warm
A2_2019,2019,25,60,2,0,2,0.999,219.71,-3.47547053,Dry,Cold
A27_2015,2015,26,60,1,0,1,0.999,506.984,-2.316151362,Wet,Warm
B2_2019,2019,29,60,1,0,1,0.999,219.71,-3.47547053,Dry,Cold
B13_2006,2006,1,75,0,2,2,0.001,180.34,-3.301481382,Dry,Cold
B5_2009,2009,1,75,0,2,2,0.001,276.606,-2.993546066,Dry,Warm
B13_2014,2014,1,75,0,2,2,0.001,279.146,-2.878476994,Dry,Warm
A40_2018,2018,1,75,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
B14_2006,2006,2,75,0,1,1,0.001,180.34,-3.301481382,Dry,Cold
B12_2017,2017,2,75,0,1,1,0.001,291.084,-2.182970334,Dry,Warm
A10_2018,2018,2,75,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
B2_2004,2004,3,75,0,2,2,0.001,224.028,-3.067724376,Dry,Warm
A2_2017,2017,3,75,0,1,1,0.001,291.084,-2.182970334,Dry,Warm
B6_2017,2017,3,75,0,2,2,0.001,291.084,-2.182970334,Dry,Warm
A10_2018,2018,3,75,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
A12_2009,2009,4,75,1,0,1,0.999,276.606,-2.993546066,Dry,Warm
A13_2011,2011,4,75,0,1,1,0.001,340.106,-2.932766528,Wet,Warm
A27_2017,2017,4,75,0,1,1,0.001,291.084,-2.182970334,Dry,Warm
A29_2017,2017,4,75,0,1,1,0.001,291.084,-2.182970334,Dry,Warm
A2_2019,2019,4,75,0,1,1,0.001,219.71,-3.47547053,Dry,Cold
A12_2009,2009,5,75,1,0,1,0.999,276.606,-2.993546066,Dry,Warm
A18_2013,2013,5,75,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
A8_2018,2018,5,75,0,2,2,0.001,302.768,-2.579869562,Wet,Warm
A7_2019,2019,5,75,0,1,1,0.001,219.71,-3.47547053,Dry,Cold
A18_2013,2013,6,75,0,4,4,0.001,236.728,-3.650611887,Dry,Cold
A29_2013,2013,6,75,0,5,5,0.001,236.728,-3.650611887,Dry,Cold
A13_2017,2017,6,75,0,2,2,0.001,291.084,-2.182970334,Dry,Warm
B5_2019,2019,6,75,0,3,3,0.001,219.71,-3.47547053,Dry,Cold
A43_2020,2020,6,75,0,3,3,0.001,233.934,-3.252918217,Dry,Cold
A4_2020,2020,6,75,0,2,2,0.001,233.934,-3.252918217,Dry,Cold
A29_2013,2013,7,75,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
BG4_2013,2013,7,75,0,9,9,0.001,236.728,-3.650611887,Dry,Cold
BG5_2020,2020,7,75,3,4,7,0.428571429,233.934,-3.252918217,Dry,Cold
A13_2013,2013,8,75,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
B21_2014,2014,8,75,0,1,1,0.001,279.146,-2.878476994,Dry,Warm
A43_2017,2017,8,75,1,0,1,0.999,291.084,-2.182970334,Dry,Warm
B6_2017,2017,8,75,0,1,1,0.001,291.084,-2.182970334,Dry,Warm
A4_2019,2019,8,75,0,5,5,0.001,219.71,-3.47547053,Dry,Cold
A18_2020,2020,8,75,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
A4_2018,2018,9,75,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
B1_2009,2009,10,75,0,1,1,0.001,276.606,-2.993546066,Dry,Warm
A18_2013,2013,11,75,0,4,4,0.001,236.728,-3.650611887,Dry,Cold
A13_2013,2013,11,75,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
A13_2014,2014,11,75,0,1,1,0.001,279.146,-2.878476994,Dry,Warm
A13_2020,2020,11,75,1,1,2,0.5,233.934,-3.252918217,Dry,Cold
B10_2020,2020,11,75,1,1,2,0.5,233.934,-3.252918217,Dry,Cold
A18_2004,2004,12,75,0,1,1,0.001,224.028,-3.067724376,Dry,Warm
A8_2004,2004,12,75,0,1,1,0.001,224.028,-3.067724376,Dry,Warm
A2_2009,2009,13,75,0,2,2,0.001,276.606,-2.993546066,Dry,Warm
B12_2011,2011,13,75,1,0,1,0.999,340.106,-2.932766528,Wet,Warm
A10_2011,2011,13,75,0,5,5,0.001,340.106,-2.932766528,Wet,Warm
B5_2019,2019,13,75,1,1,2,0.5,219.71,-3.47547053,Dry,Cold
A18_2020,2020,13,75,2,1,3,0.666666667,233.934,-3.252918217,Dry,Cold
A8_2009,2009,14,75,6,5,11,0.545454545,276.606,-2.993546066,Dry,Warm
BG4_2013,2013,14,75,4,4,8,0.5,236.728,-3.650611887,Dry,Cold
A10_2020,2020,14,75,1,2,3,0.333333333,233.934,-3.252918217,Dry,Cold
B13_2005,2005,15,75,1,0,1,0.999,326.644,-2.633386836,Wet,Warm
A41_2006,2006,15,75,0,1,1,0.001,180.34,-3.301481382,Dry,Cold
A4_2018,2018,15,75,1,0,1,0.999,302.768,-2.579869562,Wet,Warm
A20_2018,2018,16,75,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
A7_2018,2018,16,75,1,4,5,0.2,302.768,-2.579869562,Wet,Warm
A2_2018,2018,16,75,1,0,1,0.999,302.768,-2.579869562,Wet,Warm
B5_2019,2019,16,75,2,0,2,0.999,219.71,-3.47547053,Dry,Cold
B1_2004,2004,17,75,0,1,1,0.001,224.028,-3.067724376,Dry,Warm
A13_2012,2012,17,75,3,5,8,0.375,308.61,-2.678682782,Wet,Warm
A4_2018,2018,17,75,0,1,1,0.001,302.768,-2.579869562,Wet,Warm
A4_2011,2011,18,75,1,0,1,0.999,340.106,-2.932766528,Wet,Warm
A13_2012,2012,18,75,5,5,10,0.5,308.61,-2.678682782,Wet,Warm
B1_2013,2013,18,75,3,8,11,0.272727273,236.728,-3.650611887,Dry,Cold
B10_2005,2005,19,75,0,2,2,0.001,326.644,-2.633386836,Wet,Warm
B4_2005,2005,19,75,2,1,3,0.666666667,326.644,-2.633386836,Wet,Warm
B5_2009,2009,19,75,4,7,11,0.363636364,276.606,-2.993546066,Dry,Warm
A4_2011,2011,19,75,0,1,1,0.001,340.106,-2.932766528,Wet,Warm
B8_2014,2014,19,75,0,3,3,0.001,279.146,-2.878476994,Dry,Warm
A40_2019,2019,19,75,1,0,1,0.999,219.71,-3.47547053,Dry,Cold
A8_2020,2020,19,75,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
A8_2004,2004,20,75,1,1,2,0.5,224.028,-3.067724376,Dry,Warm
B1_2005,2005,20,75,4,4,8,0.5,326.644,-2.633386836,Wet,Warm
B4_2005,2005,20,75,0,1,1,0.001,326.644,-2.633386836,Wet,Warm
B5_2009,2009,20,75,2,6,8,0.25,276.606,-2.993546066,Dry,Warm
B1_2011,2011,20,75,0,2,2,0.001,340.106,-2.932766528,Wet,Warm
A4_2011,2011,20,75,1,2,3,0.333333333,340.106,-2.932766528,Wet,Warm
A18_2013,2013,20,75,0,2,2,0.001,236.728,-3.650611887,Dry,Cold
B1_2013,2013,20,75,1,9,10,0.1,236.728,-3.650611887,Dry,Cold
B5_2019,2019,20,75,0,2,2,0.001,219.71,-3.47547053,Dry,Cold
B2_2019,2019,20,75,1,1,2,0.5,219.71,-3.47547053,Dry,Cold
A41_2004,2004,21,75,1,1,2,0.5,224.028,-3.067724376,Dry,Warm
B7_2004,2004,21,75,1,4,5,0.2,224.028,-3.067724376,Dry,Warm
B5_2009,2009,21,75,1,6,7,0.142857143,276.606,-2.993546066,Dry,Warm
B19_2011,2011,21,75,2,3,5,0.4,340.106,-2.932766528,Wet,Warm
B4_2011,2011,21,75,0,2,2,0.001,340.106,-2.932766528,Wet,Warm
B14_2013,2013,21,75,1,0,1,0.999,236.728,-3.650611887,Dry,Cold
A20_2018,2018,21,75,0,3,3,0.001,302.768,-2.579869562,Wet,Warm
A7_2020,2020,21,75,2,0,2,0.999,233.934,-3.252918217,Dry,Cold
A10_2005,2005,22,75,1,1,2,0.5,326.644,-2.633386836,Wet,Warm
A18_2009,2009,22,75,0,1,1,0.001,276.606,-2.993546066,Dry,Warm
B5_2009,2009,22,75,3,6,9,0.333333333,276.606,-2.993546066,Dry,Warm
B4_2011,2011,22,75,2,1,3,0.666666667,340.106,-2.932766528,Wet,Warm
B1_2013,2013,22,75,0,2,2,0.001,236.728,-3.650611887,Dry,Cold
A27_2015,2015,22,75,1,1,2,0.5,506.984,-2.316151362,Wet,Warm
A4_2019,2019,22,75,0,2,2,0.001,219.71,-3.47547053,Dry,Cold
B8_2020,2020,22,75,2,2,4,0.5,233.934,-3.252918217,Dry,Cold
B11_2004,2004,23,75,0,12,12,0.001,224.028,-3.067724376,Dry,Warm
A11_2005,2005,23,75,5,4,9,0.555555556,326.644,-2.633386836,Wet,Warm
B13_2007,2007,23,75,0,3,3,0.001,455.676,-2.915787258,Wet,Warm
A18_2009,2009,23,75,0,2,2,0.001,276.606,-2.993546066,Dry,Warm
B5_2009,2009,23,75,5,8,13,0.384615385,276.606,-2.993546066,Dry,Warm
A13_2012,2012,23,75,0,1,1,0.001,308.61,-2.678682782,Wet,Warm
B4_2012,2012,23,75,0,2,2,0.001,308.61,-2.678682782,Wet,Warm
B1_2013,2013,23,75,2,10,12,0.166666667,236.728,-3.650611887,Dry,Cold
B2_2013,2013,23,75,1,1,2,0.5,236.728,-3.650611887,Dry,Cold
A4_2018,2018,23,75,1,1,2,0.5,302.768,-2.579869562,Wet,Warm
A2_2020,2020,23,75,2,4,6,0.333333333,233.934,-3.252918217,Dry,Cold
A11_2004,2004,24,75,0,3,3,0.001,224.028,-3.067724376,Dry,Warm
B1_2005,2005,24,75,0,1,1,0.001,326.644,-2.633386836,Wet,Warm
A13_2012,2012,24,75,1,0,1,0.999,308.61,-2.678682782,Wet,Warm
B1_2013,2013,24,75,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
B20_2013,2013,24,75,2,1,3,0.666666667,236.728,-3.650611887,Dry,Cold
B7_2014,2014,24,75,0,2,2,0.001,279.146,-2.878476994,Dry,Warm
A27_2015,2015,24,75,0,3,3,0.001,506.984,-2.316151362,Wet,Warm
A8_2009,2009,25,75,10,3,13,0.769230769,276.606,-2.993546066,Dry,Warm
B1_2013,2013,25,75,1,0,1,0.999,236.728,-3.650611887,Dry,Cold
A27_2015,2015,26,75,2,0,2,0.999,506.984,-2.316151362,Wet,Warm
A10_2013,2013,28,75,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
B13_2004,2004,2,90,0,2,2,0.001,224.028,-3.067724376,Dry,Warm
A10_2018,2018,3,90,0,4,4,0.001,302.768,-2.579869562,Wet,Warm
A12_2009,2009,4,90,1,0,1,0.999,276.606,-2.993546066,Dry,Warm
A8_2019,2019,4,90,0,1,1,0.001,219.71,-3.47547053,Dry,Cold
A29_2007,2007,5,90,0,1,1,0.001,455.676,-2.915787258,Wet,Warm
A18_2013,2013,5,90,0,4,4,0.001,236.728,-3.650611887,Dry,Cold
A7_2019,2019,5,90,0,1,1,0.001,219.71,-3.47547053,Dry,Cold
A18_2013,2013,6,90,0,8,8,0.001,236.728,-3.650611887,Dry,Cold
A29_2013,2013,6,90,0,3,3,0.001,236.728,-3.650611887,Dry,Cold
B18_2013,2013,6,90,0,2,2,0.001,236.728,-3.650611887,Dry,Cold
B5_2019,2019,6,90,0,1,1,0.001,219.71,-3.47547053,Dry,Cold
BG4_2013,2013,7,90,2,12,14,0.142857143,236.728,-3.650611887,Dry,Cold
A13_2013,2013,8,90,0,4,4,0.001,236.728,-3.650611887,Dry,Cold
BG5_2014,2014,8,90,0,2,2,0.001,279.146,-2.878476994,Dry,Warm
A43_2017,2017,8,90,0,1,1,0.001,291.084,-2.182970334,Dry,Warm
A4_2019,2019,8,90,0,3,3,0.001,219.71,-3.47547053,Dry,Cold
A18_2020,2020,8,90,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
A4_2018,2018,9,90,0,8,8,0.001,302.768,-2.579869562,Wet,Warm
A10_2020,2020,9,90,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
A13_2013,2013,11,90,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
B12_2013,2013,11,90,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
A13_2020,2020,11,90,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
A2_2009,2009,13,90,0,1,1,0.001,276.606,-2.993546066,Dry,Warm
B1_2011,2011,13,90,0,2,2,0.001,340.106,-2.932766528,Wet,Warm
A10_2011,2011,13,90,0,1,1,0.001,340.106,-2.932766528,Wet,Warm
A18_2020,2020,13,90,1,1,2,0.5,233.934,-3.252918217,Dry,Cold
A8_2009,2009,14,90,0,3,3,0.001,276.606,-2.993546066,Dry,Warm
BG4_2013,2013,14,90,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
A10_2020,2020,14,90,1,1,2,0.5,233.934,-3.252918217,Dry,Cold
B18_2014,2014,16,90,0,1,1,0.001,279.146,-2.878476994,Dry,Warm
A7_2018,2018,16,90,1,5,6,0.166666667,302.768,-2.579869562,Wet,Warm
B14_2005,2005,17,90,1,2,3,0.333333333,326.644,-2.633386836,Wet,Warm
A13_2012,2012,17,90,1,1,2,0.5,308.61,-2.678682782,Wet,Warm
A4_2011,2011,18,90,0,2,2,0.001,340.106,-2.932766528,Wet,Warm
A13_2012,2012,18,90,0,1,1,0.001,308.61,-2.678682782,Wet,Warm
B10_2005,2005,19,90,1,0,1,0.999,326.644,-2.633386836,Wet,Warm
B4_2005,2005,19,90,1,0,1,0.999,326.644,-2.633386836,Wet,Warm
B5_2009,2009,19,90,0,2,2,0.001,276.606,-2.993546066,Dry,Warm
B2_2013,2013,19,90,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
A8_2020,2020,19,90,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
B1_2005,2005,20,90,1,1,2,0.5,326.644,-2.633386836,Wet,Warm
B4_2005,2005,20,90,1,0,1,0.999,326.644,-2.633386836,Wet,Warm
B5_2009,2009,20,90,1,3,4,0.25,276.606,-2.993546066,Dry,Warm
A18_2013,2013,20,90,0,1,1,0.001,236.728,-3.650611887,Dry,Cold
B13_2014,2014,20,90,1,4,5,0.2,279.146,-2.878476994,Dry,Warm
B5_2019,2019,20,90,0,1,1,0.001,219.71,-3.47547053,Dry,Cold
A4_2020,2020,20,90,1,1,2,0.5,233.934,-3.252918217,Dry,Cold
B7_2004,2004,21,90,1,1,2,0.5,224.028,-3.067724376,Dry,Warm
B5_2009,2009,21,90,0,5,5,0.001,276.606,-2.993546066,Dry,Warm
B19_2011,2011,21,90,1,0,1,0.999,340.106,-2.932766528,Wet,Warm
A8_2020,2020,21,90,0,1,1,0.001,233.934,-3.252918217,Dry,Cold
B1_2005,2005,22,90,1,0,1,0.999,326.644,-2.633386836,Wet,Warm
B4_2011,2011,22,90,1,1,2,0.5,340.106,-2.932766528,Wet,Warm
A13_2012,2012,22,90,2,0,2,0.999,308.61,-2.678682782,Wet,Warm
B1_2013,2013,22,90,0,2,2,0.001,236.728,-3.650611887,Dry,Cold
B8_2020,2020,22,90,0,2,2,0.001,233.934,-3.252918217,Dry,Cold
B11_2004,2004,23,90,0,12,12,0.001,224.028,-3.067724376,Dry,Warm
A11_2005,2005,23,90,3,3,6,0.5,326.644,-2.633386836,Wet,Warm
B13_2007,2007,23,90,0,1,1,0.001,455.676,-2.915787258,Wet,Warm
B5_2009,2009,23,90,3,1,4,0.75,276.606,-2.993546066,Dry,Warm
A13_2012,2012,23,90,1,0,1,0.999,308.61,-2.678682782,Wet,Warm
B1_2013,2013,23,90,1,2,3,0.333333333,236.728,-3.650611887,Dry,Cold
A2_2020,2020,23,90,2,6,8,0.25,233.934,-3.252918217,Dry,Cold
A11_2004,2004,24,90,0,1,1,0.001,224.028,-3.067724376,Dry,Warm
B1_2013,2013,24,90,0,3,3,0.001,236.728,-3.650611887,Dry,Cold
A8_2009,2009,25,90,9,5,14,0.642857143,276.606,-2.993546066,Dry,Warm
A10_2013,2013,28,90,0,2,2,0.001,236.728,-3.650611887,Dry,Cold
